VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,PULocationID,DOLocationID
1,2/3/2016 20:25,2/3/2016 20:45,2,4.3,-73.96092987,40.76522827,1,Y,-73.97135925,40.79767609,1,17,0.5,0.5,4.57,0,0.3,22.87,,
1,2/15/2016 23:51,2/16/2016 0:11,1,8.2,-73.98623657,40.73914337,1,Y,-73.85771179,40.73306656,2,25.5,0.5,0.5,0,5.54,0.3,32.34,,
1,2/5/2016 8:03,2/5/2016 8:07,2,0.6,-73.97702026,40.77689362,1,Y,-73.97801971,40.7821312,1,4.5,0,0.5,1.05,0,0.3,6.35,,
1,2/10/2016 12:47,2/10/2016 12:51,1,0.7,-73.95588684,40.7820816,1,Y,-73.96304321,40.77496338,2,5,0,0.5,0,0,0.3,5.8,,
1,2/5/2016 17:34,2/5/2016 17:41,1,0.7,-73.98569489,40.74169159,1,Y,-73.99197388,40.74741745,1,5.5,1,0.5,1.25,0,0.3,8.55,,
1,2/17/2016 17:45,2/17/2016 18:17,1,6.1,-74.00534821,40.72801971,1,Y,-73.95329285,40.77086258,1,24.5,1,0.5,6.55,0,0.3,32.85,,
1,2/17/2016 0:54,2/17/2016 1:12,1,1.5,-74.00725555,40.72671127,1,Y,-73.98534393,40.72919846,1,13,0.5,0.5,2.85,0,0.3,17.15,,
1,2/25/2016 14:15,2/25/2016 14:58,1,16.3,-73.78990936,40.64653397,2,Y,-73.97516632,40.75099945,1,52,0,0.5,5,5.54,0.3,63.34,,
1,2/1/2016 18:54,2/1/2016 19:04,1,1.1,-73.97747803,40.65361786,1,Y,-73.97747803,40.65361786,1,8,1,0.5,1.96,0,0.3,11.76,,
1,2/29/2016 17:53,2/29/2016 18:02,1,1.1,0,0,1,Y,0,0,2,6.5,1,0.5,0,0,0.3,8.3,,
1,2/18/2016 15:25,2/18/2016 15:29,1,0.8,-73.95288849,40.81017303,1,Y,-73.96086121,40.80238342,2,5,0,0.5,0,0,0.3,5.8,,
1,2/14/2016 18:02,2/14/2016 18:26,2,4.5,-73.98744202,40.76118469,1,Y,-73.95500946,40.73733139,1,19,0,0.5,1,0,0.3,20.8,,
1,2/5/2016 19:14,2/5/2016 19:26,1,5.4,-74.01612854,40.71096039,1,Y,-73.97264862,40.6435051,2,17.5,1,0.5,0,5.54,0.3,24.84,,
1,2/13/2016 18:28,2/13/2016 18:35,1,1,-73.97664642,40.74747467,1,Y,-73.96778107,40.76010132,1,6.5,0,0.5,1.8,0,0.3,9.1,,
1,2/26/2016 12:24,2/26/2016 12:50,1,9,-73.86370087,40.76983643,1,Y,-73.98526764,40.74762344,2,29,0,0.5,0,5.54,0.3,35.34,,
1,2/16/2016 12:03,2/16/2016 12:19,1,2,-74.00046539,40.75850677,1,Y,-73.99969482,40.7588768,2,11.5,0,0.5,0,0,0.3,12.3,,
1,2/21/2016 19:39,2/21/2016 19:46,2,1.5,-73.99591064,40.74391937,1,Y,-73.99475861,40.75600433,1,7,0,0.5,1.55,0,0.3,9.35,,
1,2/15/2016 11:45,2/15/2016 11:53,1,1.5,-73.98239899,40.7712822,1,Y,-73.97776031,40.75328064,2,8,0,0.5,0,0,0.3,8.8,,
